State,Year,Abortion_Rate_Occurence,Abortion_Rate_Residence,Number_Abortions_Residence,Number_Abortions_Occurence,Number_of_Clinics,Percent_Counties_No_Clinic,Percent_Women_Without_Clinic,Percent_Change_Abortion_Rate_Occurence,Percent_Change_Providers,Percent_Change_Clinics,Percent_US_Abortions_Occurence,Percent_Counties_No_Provider,Percent_Women_Medicaid,Percent_Women_Private_Insurance,Percent_Women_Without_Provider,Percent_Women_Uninsured,Change_in_Providers,Change_in_Clinics,Number_Providers,Number_Fed_Funded_Abortions,Number_State_Funded_Abortions,Pop_Est_All_Women,Fed_Exp_for_Abortions_1000s,State_Exp_for_Abortions_1000s,Total_Public_Funded_Abortions,Total_Number_Women,Total_Exp_For_Abortions_1000s,Perc_w_Bachelors,Infant_Mortality,Total_Population,Per_Poverty
New York,1991,44.2,43.3,186440.0,190410.0,298.0,,,,,,,,,,,,,,,,,,,,,,,,10.7,,
New York,1992,45.6,44.6,191100.0,195390.0,289.0,40.0,7.0,,,,,,,,,,,,,,,,,,,,,,10.7,,
New York,1995,41.6,,,176420.0,273.0,,,,,,,,,,,,,,,,,,,,,,,,9.1,,
New York,1996,39.6,38.8,164080.0,167600.0,266.0,42.0,8.0,,,,,,,,,,,,,,,,,,,,,,8.6,,
New York,1999,40.3,39.4,166480.0,170090.0,231.0,,,,,,,,,,,,,,,,,,,,,,,,6.8,,0.146
New York,2000,39.1,38.1,161160.0,164630.0,234.0,42.0,8.0,,,,,,,,,,,,,,,,,,,,,0.274,6.5,19001780.0,
New York,2004,38.9,38.1,156920.0,160140.0,,,,,,,,,,,,,,,,,,,,,,,,,6.3,19171567.0,
New York,2005,38.2,36.9,152340.0,155960.0,261.0,40.0,7.0,,,,,,,,,,,,,,,,,,,,,,6.0,19132610.0,
New York,2007,36.5,35.4,144390.0,148990.0,,,,,,,,,,,,,,,,,,,,,,,,,5.9,19132335.0,
New York,2008,37.7,36.7,149070.0,153110.0,249.0,39.0,7.0,,,,,,,,,,,,,,,,,,,,,,5.7,19212436.0,
New York,2010,35.3,,,142790.0,,,,,,,,,,,,,,,,,45722.0,,,17146.0,45722.0,,17146.0,,5.5,19405185.0,
New York,2011,34.2,13.8,136282.0,138370.0,225.0,45.0,8.0,-13.0,-3.0,1.0,,,,,,,-7.0,1.0,,,,,,,,,,,5.4,19526372.0,
New York,2013,29.4,28.9,116967.0,119170.0,,,,,,,,,,,,,,,,,,,,,,,,0.353,5.1,19712514.0,0.151
New York,2013,29.4,28.9,116967.0,119170.0,,,,,,,,,,,,,,,,,,,,,,,,0.353,5.1,19712514.0,0.151
New York,2013,29.4,28.9,116967.0,119170.0,,,,,,,,,,,,,,,,,,,,,,,,0.353,5.1,19712514.0,0.151
New York,2014,29.6,29.0,117580.0,119940.0,218.0,37.0,6.0,,,,12.9,37.0,,,6.0,,,,218.0,,,4279830.0,,,,4050502.0,,,4.6,19773580.0,
North Carolina,1973,10.2,,,12260.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1974,13.8,,,16850.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1975,16.0,,,19960.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1976,18.5,,,23710.0,114.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1977,19.0,,,24960.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,22.5,22.9,30510.0,30120.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1979,22.2,22.4,30660.0,30370.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1980,22.8,22.8,31820.0,31890.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1981,23.3,23.1,32970.0,33220.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1982,23.0,23.0,33320.0,33230.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1984,24.0,23.9,35630.0,35800.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1985,22.6,22.4,33880.0,34180.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1987,24.2,23.4,36390.0,37630.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1988,25.4,24.4,38120.0,39720.0,97.0,58.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1991,22.9,21.7,35320.0,37210.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,12.2,,
North Carolina,1992,22.2,20.9,34000.0,36180.0,86.0,66.0,31.0,,,,,,,,,,,,,,,,,,,,,,11.9,,
North Carolina,1995,20.4,,,34600.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,10.4,,
North Carolina,1996,19.5,18.0,31070.0,33550.0,59.0,74.0,39.0,,,,,,,,,,,,,,,,,,,,,,10.2,,
North Carolina,1999,21.6,19.1,33870.0,38280.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,9.3,,0.12300000000000001
North Carolina,2000,21.0,18.9,33620.0,37610.0,55.0,78.0,44.0,,,,,,,,,,,,,,,,,,,,,0.225,9.2,8081614.0,
North Carolina,2004,20.0,17.5,31720.0,36220.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8553152.0,
North Carolina,2005,18.8,16.3,29730.0,34500.0,37.0,83.0,48.0,,,,,,,,,,,,,,,,,,,,,,9.0,8705407.0,
North Carolina,2007,18.2,16.1,30220.0,34290.0,,,,,,,,,,,,,,,,,,,,,,,,,8.8,9118037.0,
North Carolina,2008,17.1,15.0,29000.0,33140.0,31.0,86.0,50.0,,,,,,,,,,,,,,,,,,,,,,8.5,9309449.0,
North Carolina,2010,16.8,,,32700.0,,,,,,,,,,,,,,,,3.0,,,14.0,,3.0,,14.0,,8.3,9574247.0,
North Carolina,2011,14.6,21.8,25076.0,28600.0,36.0,87.0,49.0,3.0,3.0,-24.0,,,,,,,1.0,-5.0,,,,,,,,,,,8.1,9662940.0,
North Carolina,2013,15.5,13.6,26850.0,30550.0,,,,,,,,,,,,,,,,,,,,,,,,0.299,7.1,9849812.0,0.161
North Carolina,2013,15.5,13.6,26850.0,30550.0,,,,,,,,,,,,,,,,,,,,,,,,0.299,7.1,9849812.0,0.161
North Carolina,2013,15.5,13.6,26850.0,30550.0,,,,,,,,,,,,,,,,,,,,,,,,0.299,7.1,9849812.0,0.161
North Carolina,2014,15.1,13.0,26410.0,29960.0,37.0,83.0,43.0,,,,3.2,83.0,,,43.0,,,,37.0,,,2113370.0,,,,1982572.0,,,7.1,9941160.0,
North Dakota,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1974,1.2,,,150.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1975,6.7,,,890.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1976,12.1,,,1630.0,2.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1977,13.8,,,1900.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1978,15.9,9.2,1410.0,2240.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1979,19.6,12.2,1750.0,2810.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1980,21.5,12.6,1840.0,3140.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1981,21.5,12.9,1900.0,3180.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1982,22.4,11.6,1740.0,3350.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1984,19.3,11.4,1740.0,2940.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1985,18.5,10.4,1610.0,2850.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1987,17.0,10.2,1540.0,2560.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1988,14.9,10.1,1510.0,2230.0,3.0,94.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1991,11.5,8.4,1170.0,1600.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,9.6,,
North Dakota,1992,10.7,8.6,1190.0,1490.0,1.0,98.0,81.0,,,,,,,,,,,,,,,,,,,,,,9.3,,
North Dakota,1995,9.5,,,1330.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,
North Dakota,1996,9.2,7.4,1050.0,1290.0,1.0,98.0,80.0,,,,,,,,,,,,,,,,,,,,,,7.9,,
North Dakota,1999,9.8,7.1,970.0,1350.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,5.3,,0.11900000000000001
North Dakota,2000,9.9,6.9,940.0,1340.0,2.0,98.0,77.0,,,,,,,,,,,,,,,,,,,,,0.22,7.4,642023.0,
North Dakota,2004,10.5,7.3,940.0,1360.0,,,,,,,,,,,,,,,,,,,,,,,,,6.9,644705.0,
North Dakota,2005,9.6,7.0,890.0,1230.0,1.0,98.0,75.0,,,,,,,,,,,,,,,,,,,,,,6.2,646089.0,
North Dakota,2007,9.8,7.2,910.0,1240.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,652822.0,
North Dakota,2008,11.0,7.9,1010.0,1400.0,1.0,98.0,74.0,,,,,,,,,,,,,,,,,,,,,,6.1,657569.0,
North Dakota,2010,10.0,,,1290.0,,,,,,,,,,,,,,,,,,,,,,,,,6.6,674518.0,
North Dakota,2011,9.5,33.7,936.0,1250.0,1.0,98.0,73.0,-8.0,,,,,,,,,,,,,,,,,,,,,6.0,684830.0,
North Dakota,2013,8.4,6.4,901.0,1180.0,,,,,,,,,,,,,,,,,,,,,,,,0.289,6.6,722908.0,0.11
North Dakota,2013,8.4,6.4,901.0,1180.0,,,,,,,,,,,,,,,,,,,,,,,,0.289,6.6,722908.0,0.11
North Dakota,2013,8.4,6.4,901.0,1180.0,,,,,,,,,,,,,,,,,,,,,,,,0.289,6.6,722908.0,0.11
North Dakota,2014,8.7,7.0,1020.0,1260.0,1.0,98.0,73.0,,,,0.1,98.0,,,73.0,,,,1.0,,,152320.0,,,,144477.0,,,5.0,738658.0,
Ohio,1973,7.4,,,17270.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1974,13.0,,,30400.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1975,18.8,,,44600.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1976,22.3,,,53420.0,42.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1977,24.8,,,60190.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1978,23.3,23.1,56170.0,57140.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1979,25.9,25.9,64330.0,64380.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1980,26.8,26.3,65880.0,67140.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1981,24.1,23.7,59710.0,60700.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1982,24.3,23.8,60310.0,61440.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1984,22.7,22.1,56310.0,58040.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1985,22.4,21.8,55720.0,57360.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1987,20.2,19.3,49350.0,51490.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1988,21.0,19.9,50780.0,53400.0,53.0,88.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1991,20.4,19.5,49840.0,52030.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,9.5,,
Ohio,1992,19.5,18.2,46190.0,49520.0,45.0,90.0,46.0,,,,,,,,,,,,,,,,,,,,,,9.8,,
Ohio,1995,16.2,,,40940.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,9.4,,
Ohio,1996,17.1,16.4,41320.0,42870.0,37.0,91.0,50.0,,,,,,,,,,,,,,,,,,,,,,9.3,,
Ohio,1999,16.4,15.5,38020.0,40250.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,7.8,,0.106
Ohio,2000,16.5,15.6,38090.0,40230.0,35.0,91.0,50.0,,,,,,,,,,,,,,,,,,,,,0.211,7.9,11363543.0,
Ohio,2004,14.8,14.0,33280.0,35050.0,,,,,,,,,,,,,,,,,,,,,,,,,7.8,11452251.0,
Ohio,2005,14.9,14.1,33140.0,35060.0,27.0,90.0,51.0,,,,,,,,,,,,,,,,,,,,,,8.5,11463320.0,
Ohio,2007,14.7,14.2,32620.0,33790.0,,,,,,,,,,,,,,,,,,,,,,,,,8.1,11500468.0,
Ohio,2008,14.8,14.2,32370.0,33550.0,26.0,91.0,55.0,,,,,,,,,,,,,,,,,,,,,,8.1,11515391.0,
Ohio,2010,13.5,,,30220.0,,,,,,,,,,,,,,,,9.0,,,16.0,,9.0,,16.0,,7.7,11539282.0,
Ohio,2011,12.9,12.6,27928.0,28590.0,26.0,90.0,51.0,-20.0,-35.0,-33.0,,,,,,,-9.0,-6.0,,,,,,,,,,,7.7,11543332.0,
Ohio,2013,11.1,11.0,24467.0,24560.0,,,,,,,,,,,,,,,,,,,,,,,,0.272,7.8,11567845.0,0.149
Ohio,2013,11.1,11.0,24467.0,24560.0,,,,,,,,,,,,,,,,,,,,,,,,0.272,7.8,11567845.0,0.149
Ohio,2013,11.1,11.0,24467.0,24560.0,,,,,,,,,,,,,,,,,,,,,,,,0.272,7.8,11567845.0,0.149
Ohio,2014,10.3,11.0,23220.0,22730.0,17.0,93.0,56.0,,,,2.5,93.0,,,56.0,,,,17.0,,,2362780.0,,,,2213001.0,,,6.9,11593741.0,
Oklahoma,1973,1.0,,,590.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1974,7.4,,,4350.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1975,11.2,,,6780.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1976,12.2,,,7550.0,13.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1977,15.7,,,10000.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1978,17.1,16.8,10500.0,11180.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1979,16.1,16.8,11300.0,10820.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1980,16.4,16.9,11630.0,11280.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1981,17.6,17.9,12600.0,12360.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1982,17.6,21.4,15380.0,12690.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1984,16.8,17.4,13050.0,12630.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1985,17.1,17.5,13380.0,13100.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1987,14.5,14.7,11150.0,11000.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1988,16.2,16.4,12240.0,12120.0,13.0,95.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1991,12.8,13.0,9240.0,9130.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,9.3,,
Oklahoma,1992,12.5,12.7,9080.0,8940.0,11.0,95.0,55.0,,,,,,,,,,,,,,,,,,,,,,8.8,,
Oklahoma,1995,12.7,,,9130.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,9.2,,
Oklahoma,1996,11.6,11.7,8490.0,8400.0,11.0,95.0,54.0,,,,,,,,,,,,,,,,,,,,,,8.8,,
Oklahoma,1999,10.6,11.0,8070.0,7770.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,8.1,,0.147
Oklahoma,2000,10.1,10.6,7780.0,7390.0,6.0,96.0,56.0,,,,,,,,,,,,,,,,,,,,,0.203,8.0,3454365.0,
Oklahoma,2004,9.8,10.1,7340.0,7140.0,,,,,,,,,,,,,,,,,,,,,,,,,7.7,3525233.0,
Oklahoma,2005,9.5,10.3,7420.0,6950.0,6.0,96.0,57.0,,,,,,,,,,,,,,,,,,,,,,8.2,3548597.0,
Oklahoma,2007,9.7,10.3,7480.0,7000.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3634349.0,
Oklahoma,2008,9.8,10.3,7500.0,7160.0,6.0,96.0,56.0,,,,,,,,,,,,,,,,,,,,,,7.9,3668976.0,
Oklahoma,2010,8.5,,,6290.0,,,,,,,,,,,,,,,,,,,,,,,,,7.9,3759529.0,
Oklahoma,2011,7.9,8.0,5905.0,5860.0,5.0,96.0,55.0,-12.0,,,,,,,,,,,,,,,,,,,,,7.5,3785232.0,
Oklahoma,2013,7.6,7.6,5761.0,5770.0,,,,,,,,,,,,,,,,,,,,,,,,0.248,7.4,3849840.0,0.162
Oklahoma,2013,7.6,7.6,5761.0,5770.0,,,,,,,,,,,,,,,,,,,,,,,,0.248,7.4,3849840.0,0.162
Oklahoma,2013,7.6,7.6,5761.0,5770.0,,,,,,,,,,,,,,,,,,,,,,,,0.248,7.4,3849840.0,0.162
Oklahoma,2014,7.0,7.0,5210.0,5330.0,5.0,96.0,54.0,,,,0.6,96.0,,,54.0,,,,5.0,,,813960.0,,,,762822.0,,,8.1,3875008.0,
Oregon,1973,23.3,,,11440.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1974,26.3,,,13390.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1975,25.1,,,13270.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1976,23.4,,,12820.0,46.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1977,26.6,,,15070.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1978,24.6,29.5,15950.0,14450.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1979,29.2,31.6,19170.0,17690.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1980,28.3,28.9,18100.0,17670.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1981,25.1,25.0,15930.0,15990.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1982,25.2,25.0,16240.0,16350.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1984,22.8,21.7,14590.0,15310.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1985,22.3,21.2,14520.0,15230.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1987,21.8,20.5,13530.0,14370.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1988,23.9,22.3,14850.0,15960.0,45.0,67.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1991,24.9,22.9,15270.0,16580.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,9.5,,
Oregon,1992,23.9,21.7,14620.0,16060.0,40.0,75.0,27.0,,,,,,,,,,,,,,,,,,,,,,8.7,,
Oregon,1995,22.2,,,15590.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,7.2,,
Oregon,1996,21.1,19.0,13540.0,15050.0,35.0,81.0,38.0,,,,,,,,,,,,,,,,,,,,,,7.1,,
Oregon,1999,23.9,21.3,15370.0,17230.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,5.7,,0.11599999999999999
Oregon,2000,23.5,21.2,15270.0,17010.0,34.0,78.0,26.0,,,,,,,,,,,,,,,,,,,,,0.251,5.6,3429708.0,
Oregon,2004,18.0,16.6,12240.0,13320.0,,,,,,,,,,,,,,,,,,,,,,,,,5.9,3569463.0,
Oregon,2005,17.7,16.3,11900.0,13200.0,32.0,78.0,26.0,,,,,,,,,,,,,,,,,,,,,,5.9,3613202.0,
Oregon,2007,17.9,16.6,12410.0,13370.0,,,,,,,,,,,,,,,,,,,,,,,,,5.9,3722417.0,
Oregon,2008,17.2,15.7,11800.0,12920.0,29.0,75.0,23.0,,,,,,,,,,,,,,,,,,,,,,5.9,3768748.0,
Oregon,2010,14.6,,,11010.0,,,,,,,,,,,,,,,,,3427.0,,,1610.0,3427.0,,1610.0,,5.5,3837073.0,
Oregon,2011,14.1,13.2,10022.0,10690.0,29.0,75.0,22.0,-15.0,-7.0,,,,,,,,-2.0,,,,,,,,,,,,5.0,3865845.0,
Oregon,2013,11.9,11.2,8602.0,9130.0,,,,,,,,,,,,,,,,,,,,,,,,0.32299999999999995,4.8,3919664.0,0.149
Oregon,2013,11.9,11.2,8602.0,9130.0,,,,,,,,,,,,,,,,,,,,,,,,0.32299999999999995,4.8,3919664.0,0.149
Oregon,2013,11.9,11.2,8602.0,9130.0,,,,,,,,,,,,,,,,,,,,,,,,0.32299999999999995,4.8,3919664.0,0.149
Oregon,2014,12.0,11.0,8760.0,9330.0,27.0,75.0,21.0,,,,1.0,75.0,,,21.0,,,,27.0,,,824000.0,,,,776362.0,,,5.1,3960673.0,
Pennsylvania,1973,12.2,,,29920.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1974,16.8,,,41620.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1975,18.9,,,47450.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1976,22.2,,,56350.0,146.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1977,24.2,,,62050.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1978,25.1,24.3,62650.0,65150.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1979,24.8,24.3,63600.0,64920.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1980,26.1,25.7,67810.0,68910.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1981,24.4,24.4,64860.0,64850.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1982,24.1,24.0,64010.0,64060.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1984,22.6,23.2,62160.0,60680.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1985,21.3,22.1,59360.0,57370.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1987,18.9,19.4,53330.0,51800.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,18.9,19.4,53050.0,51830.0,90.0,72.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1991,19.2,19.3,52290.0,51780.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,10.1,,
Pennsylvania,1992,18.6,18.9,50720.0,49740.0,81.0,70.0,34.0,,,,,,,,,,,,,,,,,,,,,,10.0,,
Pennsylvania,1995,15.4,,,40760.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,9.1,,
Pennsylvania,1996,15.0,15.9,42080.0,39520.0,61.0,75.0,37.0,,,,,,,,,,,,,,,,,,,,,,8.8,,
Pennsylvania,1999,13.9,15.7,40370.0,35860.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,7.6,,0.11
Pennsylvania,2000,14.3,15.5,39670.0,36570.0,73.0,75.0,39.0,,,,,,,,,,,,,,,,,,,,,0.224,7.4,12284173.0,
Pennsylvania,2004,14.3,15.6,38850.0,35760.0,,,,,,,,,,,,,,,,,,,,,,,,,7.2,12410722.0,
Pennsylvania,2005,13.8,15.5,38110.0,34150.0,56.0,78.0,40.0,,,,,,,,,,,,,,,,,,,,,,7.5,12449990.0,
Pennsylvania,2007,14.9,17.5,42550.0,36190.0,,,,,,,,,,,,,,,,,,,,,,,,,7.6,12563937.0,
Pennsylvania,2008,16.7,19.0,46670.0,41000.0,50.0,82.0,46.0,,,,,,,,,,,,,,,,,,,,,,7.7,12612285.0,
Pennsylvania,2010,15.8,,,38650.0,,,,,,,,,,,,,,,,,7.0,,,3.0,7.0,,3.0,,7.5,12711063.0,
Pennsylvania,2011,15.1,16.1,39197.0,36870.0,47.0,82.0,47.0,-12.0,-11.0,,,,,,,,-5.0,,,,,,,,,,,,7.3,12742811.0,
Pennsylvania,2013,13.4,14.3,34583.0,32370.0,,,,,,,,,,,,,,,,,,,,,,,,0.301,6.9,12778450.0,0.131
Pennsylvania,2013,13.4,14.3,34583.0,32370.0,,,,,,,,,,,,,,,,,,,,,,,,0.301,6.9,12778450.0,0.131
Pennsylvania,2013,13.4,14.3,34583.0,32370.0,,,,,,,,,,,,,,,,,,,,,,,,0.301,6.9,12778450.0,0.131
Pennsylvania,2014,13.3,14.0,34230.0,32030.0,42.0,81.0,42.0,,,,3.5,81.0,,,42.0,,,,42.0,,,2560940.0,,,,2411443.0,,,5.9,12790341.0,
Rhode Island,1973,5.8,,,1140.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1974,14.7,,,2910.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1975,16.5,,,3310.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1976,19.1,,,3890.0,4.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1977,20.3,,,4200.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1978,21.7,26.8,5350.0,4570.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1979,26.5,27.7,5910.0,5650.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1980,30.7,28.8,6220.0,6640.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1981,34.7,29.2,6030.0,7500.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1982,35.8,28.3,6150.0,7770.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1984,34.1,27.0,5900.0,7450.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1985,35.5,28.2,6170.0,7770.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1987,31.3,25.4,6000.0,7390.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1988,30.6,24.7,5800.0,7190.0,6.0,60.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1991,31.3,26.1,6260.0,7500.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,8.3,,
Rhode Island,1992,29.5,24.6,5830.0,6990.0,6.0,60.0,36.0,,,,,,,,,,,,,,,,,,,,,,9.2,,
Rhode Island,1995,24.6,,,5720.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,7.7,,
Rhode Island,1996,23.3,22.8,5290.0,5420.0,5.0,60.0,37.0,,,,,,,,,,,,,,,,,,,,,,7.3,,
Rhode Island,1999,24.0,20.8,4740.0,5560.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,6.1,,0.11900000000000001
Rhode Island,2000,24.1,21.0,4900.0,5600.0,6.0,80.0,39.0,,,,,,,,,,,,,,,,,,,,,0.256,7.0,1050268.0,
Rhode Island,2004,24.7,20.7,4810.0,5730.0,,,,,,,,,,,,,,,,,,,,,,,,,5.9,1074579.0,
Rhode Island,2005,23.2,20.6,4680.0,5290.0,4.0,80.0,39.0,,,,,,,,,,,,,,,,,,,,,,6.8,1067916.0,
